Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Amaranthus retroflexus,3379.06,32.544,59.983,0.464,0.3976,0.21,Amaranthus retroflexus,original_Diaz,herb,GIFT
Amauriopsis dissecta,810,22.13,81.301,0.6,0.435,0.18,Hymenothrix dissecta,original_Diaz,herb,GIFT
Ambrosia artemisiifolia,650.16,25.5,39.867,0.695,3.9899,0.208,Ambrosia artemisiifolia,original_Diaz,herb,GIFT
Ambrosia dumosa,198.92,28.003,35.278,0.346,2.4942,0.711,Ambrosia dumosa,original_Diaz,shrub,GIFT
Ambrosia psilostachya,461.55,20.362,69.176,0.525,6.3926,0.279,Ambrosia psilostachya,original_Diaz,herb,GIFT
Ambrosia salsola,341.9,27.092,132.858,1.225,5.5906,0.69,Ambrosia salsola,original_Diaz,shrub,GIFT
Ambrosia tenuifolia,451.94,28.067,89.966,0.343,5.3,0.211,Ambrosia tenuifolia,original_Diaz,herb,GIFT
Ambrosia trifida,5202.03,44.1,45.68,1.068,11.1259,0.193,Ambrosia trifida,original_Diaz,herb,GIFT
Ammophila arenaria,1868.31,12.437,145.422,0.728,3.4589,0.361,Calamagrostis arenaria,original_Diaz,herb,GIFT
Anacardium excelsum,12848.51,16.557,77.142,37.378,2306.4163,0.432,Anacardium excelsum,original_Diaz,tree,GIFT
Anagallis arvensis,130.6,28.86,32.278,0.148,0.4528,0.166,Lysimachia arvensis,original_Diaz,herb,GIFT
Anagallis arvensis subsp. foemina,240.5,22.246,35.273,0.129,0.4548,0.185,Lysimachia arvensis,original_Diaz,herb,GIFT
Anagallis tenella,13,7.04,29.827,0.079,0.1029,0.15,Lysimachia tenella,original_Diaz,herb,GIFT
Anaphalis margaritacea,1465.02,17.764,69.518,0.634,0.0445,0.251,Anaphalis margaritacea,original_Diaz,herb,GIFT
Andira inermis,1783.46,31.448,51.879,24.377,1346.463,0.641,Andira inermis,original_Diaz,tree,GIFT
Andromeda polifolia,39.87,14.476,134.494,0.195,0.1666,0.311,Andromeda polifolia,original_Diaz,shrub,GIFT
Andropogon gerardii,1354.37,12.034,54.138,1.356,1.9015,0.262,Andropogon gerardi,original_Diaz,herb,GIFT
Andropogon virginicus,664.88,13.3,84.317,0.21,0.3309,0.25,Andropogon virginicus,original_Diaz,herb,GIFT
