Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Luehea seemannii,6612.46,20.256,73.599,32.863,1.8734,0.49,Luehea seemannii,original_Diaz,tree,GIFT
Luma apiculata,75,11.198,150.893,18.632,17.9416,0.91,Luma apiculata,original_Diaz,tree,GIFT
Lunania mexicana,3662.47,14.993,55.249,20,0.1,0.58,Lunania mexicana,original_Diaz,tree,GIFT
Lunania parviflora,6136.09,25.36,68.399,16.202,1.09,0.575,Lunania parviflora,original_Diaz,tree,GIFT
Lupinus kingii,41.25,30.68,53.191,0.06,7.43,0.281,Lupinus kingii,original_Diaz,herb,GIFT
Lupinus perennis,230.63,26.498,55.014,0.3,22.0805,0.145,Lupinus perennis,original_Diaz,herb,GIFT
Lupinus polyphyllus,1460.17,32.935,41.667,1.159,22.4556,0.165,Lupinus polyphyllus,original_Diaz,herb,GIFT
Luzula alpinopilosa,384.35,29.8,58.996,0.182,0.2249,0.162,Luzula alpinopilosa,original_Diaz,herb,GIFT
Luzula campestris,210.69,26.628,40.898,0.134,0.6205,0.206,Luzula campestris,original_Diaz,herb,GIFT
Luzula forsteri,338.56,20.322,46.42,0.176,1.1846,0.237,Luzula forsteri,original_Diaz,herb,GIFT
Luzula multiflora,203.67,24.342,41.711,0.188,0.5886,0.235,Luzula multiflora,original_Diaz,herb,GIFT
Luzula nivea,588.87,24.856,40.205,0.616,0.48,0.232,Luzula nivea,original_Diaz,herb,GIFT
Luzula pilosa,669.48,18.949,38.413,0.266,1.0339,0.203,Luzula pilosa,original_Diaz,herb,GIFT
Luzula rufa,137.08,12.454,55.372,0.091,0.33,0.296,Luzula rufa,original_Diaz,herb,GIFT
Luzula spicata,34.85,22.59,103.973,0.146,0.2907,0.268,Luzula spicata,original_Diaz,herb,GIFT
Luzula sudetica,243.2,32.109,31.394,0.165,0.2998,0.168,Luzula sudetica,original_Diaz,herb,GIFT
Lycium andersonii,17.86,26.671,106.698,0.55,2.11,0.707,Lycium andersonii,original_Diaz,shrub,GIFT
Lycopus europaeus,524.64,21.654,35.408,0.625,0.2649,0.194,Lycopus europaeus,original_Diaz,herb,GIFT
Lysimachia europaea,176.49,20.371,26.358,0.097,0.6194,0.226,Lysimachia europaea,original_Diaz,herb,GIFT
Lysimachia maritima,39.57,21.208,58.283,0.117,0.3888,0.182,Lysimachia maritima,original_Diaz,herb,GIFT
Lysimachia nummularia,267.82,17.1,35.477,0.304,0.2031,0.21,Lysimachia nummularia,original_Diaz,herb,GIFT
Lysimachia vulgaris,1922.41,24.165,45.214,0.711,0.2844,0.224,Lysimachia vulgaris,original_Diaz,herb,GIFT
Lythrum salicaria,595.68,21.257,53.28,0.713,0.062,0.281,Lythrum salicaria,original_Diaz,herb,GIFT
Maackia amurensis,6569.69,37.233,76.046,12.432,32.444,0.89,Maackia amurensis,original_Diaz,tree,GIFT
Macaranga gigantea,27153.55,19.391,76.623,12.067,13,0.295,Macaranga gigantea,original_Diaz,tree,GIFT
Macaranga hypoleuca,11303.52,13.7,65.246,18.154,28.6392,0.263,Macaranga hypoleuca,original_Diaz,tree,GIFT
Macaranga tanarius,50980.54,26.213,70.013,10.874,29.081,0.454,Macaranga tanarius,original_Diaz,tree,GIFT
Macaranga triloba,13747.57,32.71,42.325,21.005,15,0.319,Macaranga triloba,original_Diaz,tree,GIFT
Machaeranthera canescens,97,28.78,92.593,0.37,0.4991,0.232,Dieteria canescens,original_Diaz,herb,GIFT
Machaeranthera gracilis,21,18.56,62.112,0.21,0.2728,0.216,Xanthisma gracile,original_Diaz,herb,GIFT
Machilus chinensis,700,9.25,71.692,15.18,337,0.47,Machilus chinensis,original_Diaz,tree,GIFT
Macrocnemum roseum,7715.9,22.63,54.305,27.851,0.0112,0.489,Macrocnemum roseum,original_Diaz,tree,GIFT
Macrolobium angustifolium,7295.47,23.783,62.539,30,2200,0.646,Macrolobium angustifolium,original_Diaz,tree,GIFT
Macrolobium gracile,43.84,25.605,57.545,25,410,0.63,Macrolobium gracile,original_Diaz,tree,GIFT
Magnolia grandiflora,9770.16,13.4,111.032,15.369,64.1135,0.44,Magnolia grandiflora,original_Diaz,tree,GIFT
Maianthemum bifolium,1218.27,31.803,30.567,0.133,13.0698,0.213,Maianthemum bifolium,original_Diaz,herb,GIFT
Maianthemum canadense,1246.23,19.35,35.237,0.096,9.1628,0.222,Maianthemum canadense,original_Diaz,herb,GIFT
Mallotus pallidus,9050,23,57.208,12.429,25.6642,0.685,Mallotus pallidus,original_Diaz,tree,GIFT
Mallotus paniculatus,25871.64,25.9,66.861,9.984,10.0367,0.348,Mallotus paniculatus,original_Diaz,tree,GIFT
Mallotus philippensis,3000,20.341,57.488,5,26.9,0.602,Mallotus philippensis,original_Diaz,tree,GIFT
Malus sylvestris,816.06,22.496,80.991,7.093,23.492,0.644,Malus sylvestris,original_Diaz,tree,GIFT
Malva sylvestris,7727.5,28.9,44.229,0.684,3.6411,0.185,Malva sylvestris,original_Diaz,herb,GIFT
Mangifera indica,7854,13.514,131.299,18.113,14368.217,0.554,Mangifera indica,original_Diaz,tree,GIFT
Manilkara bidentata,4571.9,14.377,152.655,37.225,1063.4965,0.854,Manilkara bidentata,original_Diaz,tree,GIFT
Maprounea guianensis,822.6,26.656,75.517,20,11,0.58,Maprounea guianensis,original_Diaz,tree,GIFT
Maquira guianensis,6629.61,19.832,63.749,21.221,218.95,0.719,Maquira guianensis,original_Diaz,tree,GIFT
Margaritaria nobilis,4137.99,24.708,61.134,18.473,10.0077,0.582,Margaritaria nobilis,original_Diaz,tree,GIFT
Marila laxiflora,11781.28,18.599,70.745,11.265,20.18,0.663,Marila laxiflora,original_Diaz,tree,GIFT
Matthiola incana,590,30.83,44.405,0.363,1.6516,0.154,Matthiola incana,original_Diaz,herb,GIFT
Maytenus boaria,675,14.248,113.618,21.544,16.4724,0.619,Maytenus boaria,original_Diaz,tree,GIFT
Medicago lupulina,247.91,33.143,34.575,0.238,1.4429,0.22,Medicago lupulina,original_Diaz,herb,GIFT
Medicago minima,27.07,41.986,38.553,0.131,0.9719,0.2,Medicago minima,original_Diaz,herb,GIFT
Medicago sativa,103.57,39.665,50.862,0.659,2.2701,0.218,Medicago sativa,original_Diaz,herb,GIFT
Meiogyne cylindrocarpa,3380.3,17.39,45.413,10,720,0.58,Meiogyne cylindrocarpa,original_Diaz,tree,GIFT
Melaleuca leucadendra,1272.79,10.655,157.049,17,0.41,0.684,Melaleuca leucadendra,original_Diaz,tree,GIFT
Melaleuca uncinata,24.22,12.969,323.55,2.802,0.4532,0.912,Melaleuca uncinata,original_Diaz,shrub,GIFT
Melaleuca viridiflora,1550.35,7.252,229.966,13.216,0.3808,0.83,Melaleuca viridiflora,original_Diaz,tree,GIFT
Melampyrum arvense,450,37.989,34.06,0.322,13.3378,0.19,Melampyrum arvense,original_Diaz,herb,GIFT
Melampyrum cristatum,378.5,27.545,38.329,0.251,5.1295,0.19,Melampyrum cristatum,original_Diaz,herb,GIFT
Melampyrum pratense,240,24.822,38.834,0.223,5.637,0.195,Melampyrum pratense,original_Diaz,herb,GIFT
Melampyrum sylvaticum,248.29,25.105,32.677,0.214,6.2883,0.38,Melampyrum sylvaticum,original_Diaz,herb,GIFT
Melastoma malabathricum,1979.87,12.349,57.76,3.431,0.0575,0.44,Melastoma malabathricum,original_Diaz,shrub,GIFT
Melia azedarach,981.75,37.82,207.771,12.198,1067.2264,0.44,Melia azedarach,original_Diaz,tree,GIFT
Melica ciliata,218.74,25.988,53.897,0.383,0.662,0.384,Melica ciliata,original_Diaz,herb,GIFT
Melica nutans,394.56,25.558,38.22,0.474,2.1767,0.387,Melica nutans,original_Diaz,herb,GIFT
Melica uniflora,453.73,19.566,28.56,0.362,2.7899,0.243,Melica uniflora,original_Diaz,herb,GIFT
Melicytus ramiflorus,3481.09,25.592,48.007,4.046,1.0747,0.461,Melicytus ramiflorus,original_Diaz,tree,GIFT
Melilotus officinalis,156.23,34.8,58.254,0.725,2.6261,0.209,Melilotus officinalis,original_Diaz,herb,GIFT
Melilotus officinalis subsp. alba,219.11,41.798,44.066,0.339,2.1946,0.195,Melilotus albus,original_Diaz,herb,GIFT
Melittis melissophyllum,2586.7,28.464,18.695,0.31,5.39,0.169,Melittis melissophyllum,original_Diaz,herb,GIFT
Mentha aquatica,463.44,15.478,41.938,0.269,0.1237,0.164,Mentha aquatica,original_Diaz,herb,GIFT
Mentha arvensis,566.07,15.13,25.748,0.294,0.1483,0.186,Mentha arvensis,original_Diaz,herb,GIFT
Mentha longifolia,1607.7,26.557,37.27,0.581,0.0485,0.24,Mentha longifolia,original_Diaz,herb,GIFT
Menyanthes trifoliata,3756.23,24.958,43.502,0.206,2.7286,0.188,Menyanthes trifoliata,original_Diaz,herb,GIFT
Mercurialis annua,759.85,41.442,20.644,0.28,2.0913,0.18,Mercurialis annua,original_Diaz,herb,GIFT
Mercurialis perennis,1889.74,32.305,38.256,0.273,4.2347,0.21,Mercurialis perennis,original_Diaz,herb,GIFT
Metrosideros polymorpha,450.5,8.067,217.565,18.327,0.09,0.7,Metrosideros polymorpha,original_Diaz,tree,GIFT
Miconia affinis,9914.14,28.64,51.155,8.566,0.242,0.596,Miconia affinis,original_Diaz,tree,GIFT
Miconia argentea,17548.83,18.512,83.45,23.938,0.0811,0.624,Miconia argentea,original_Diaz,tree,GIFT
Miconia prasina,11605.32,18.177,86.956,9.674,1.3,0.637,Miconia prasina,original_Diaz,tree,GIFT
Micropholis venulosa,1036.7,18.093,95.489,38.879,392.1799,0.647,Micropholis venulosa,original_Diaz,tree,GIFT
Milium effusum,1621.09,23.087,29.204,0.843,0.813,0.213,Milium effusum,original_Diaz,herb,GIFT
Mimulus aurantiacus,291.91,12.368,120.4,1.934,0.0396,0.657,Diplacus aurantiacus,original_Diaz,shrub,GIFT
Minuartia verna,4.86,18.1,48.528,0.083,0.0749,0.22,Sabulina verna,original_Diaz,herb,GIFT
Mirabilis decipiens,400,42.47,57.143,0.4,4.52,0.18,Mirabilis linearis var. decipiens,original_Diaz,herb,GIFT
Moehringia trinervia,77.37,26.61,28.109,0.154,0.1548,0.188,Moehringia trinervia,original_Diaz,herb,GIFT
Molinia caerulea,675.51,17.019,59.756,0.938,1.8043,0.268,Molinia caerulea,original_Diaz,herb,GIFT
Mollinedia viridiflora,5013.86,23.76,45.769,10,220,0.55,Mollinedia viridiflora,original_Diaz,tree,GIFT
Monarda fistulosa,847.75,13.252,50.393,0.926,0.35,0.225,Monarda fistulosa,original_Diaz,herb,GIFT
Monarda punctata,491.08,13.2,53.798,0.454,0.2678,0.208,Monarda punctata,original_Diaz,herb,GIFT
Mortoniodendron guatemalense,1669.14,15.127,99.503,35,35,0.51,Mortoniodendron guatemalense,original_Diaz,tree,GIFT
Morus alba,10766.81,24.733,62.941,6.526,4.5635,0.577,Morus alba,original_Diaz,tree,GIFT
Mosannona garwoodii,2800.7,23.24,67.703,14.459,258.98,0.73,Mosannona garwoodiae,original_Diaz,tree,GIFT
Muhlenbergia minutissima,31,20.75,42.194,0.06,0.09,0.207,Muhlenbergia minutissima,original_Diaz,herb,GIFT
Muhlenbergia montana,160,11.8,129.87,0.414,0.2638,0.447,Muhlenbergia montana,original_Diaz,herb,GIFT
Muhlenbergia peruviana,4.36,17.608,70.76,0.033,0.1488,0.367,Muhlenbergia peruviana,original_Diaz,herb,GIFT
Muhlenbergia ramulosa,3,15.39,133.333,0.07,0.09,0.287,Muhlenbergia ramulosa,original_Diaz,herb,GIFT
Muhlenbergia rigens,270,14.19,126.582,0.702,0.2126,0.385,Muhlenbergia rigens,original_Diaz,herb,GIFT
Muhlenbergia schreberi,128.68,15.62,29.67,0.97,0.6,0.308,Muhlenbergia schreberi,original_Diaz,herb,GIFT
Muhlenbergia wrightii,170,16.97,64.935,0.452,0.2324,0.358,Muhlenbergia wrightii,original_Diaz,herb,GIFT
Munroa squarrosa,28,17.92,50.505,0.04,0.44,0.305,Munroa squarrosa,original_Diaz,herb,GIFT
Musanga cecropioides,9050,24,76.336,4.225,1.3608,0.229,Musanga cecropioides,original_Diaz,tree,GIFT
Myosotis alpestris,209.92,22,58.038,0.082,0.6919,0.19,Myosotis alpestris,original_Diaz,herb,GIFT
Myosotis arvensis,722.39,13.37,32.614,0.214,0.3791,0.093,Myosotis arvensis,original_Diaz,herb,GIFT
Myosotis ramosissima,153.48,14.488,37.259,0.098,0.2131,0.185,Myosotis ramosissima,original_Diaz,herb,GIFT
Myosotis scorpioides,692.33,21.8,25.152,0.299,0.3888,0.168,Lonchocarpus rugosus,original_Diaz,tree,GIFT
Myosotis sylvatica,373.01,29.55,35.361,0.201,0.5879,0.17,Myosotis sylvatica,original_Diaz,herb,GIFT
Myrcia gatunensis,2861.09,15.953,67.25,15.296,74.66,0.655,Myrcia splendens,original_Diaz,tree,GIFT
Myrcia splendens,4558.33,15.711,82.493,18.667,117.37,0.83,Myrcia splendens,original_Diaz,tree,GIFT
Myrciaria floribunda,3564.25,18.167,60.693,15,273.39,0.751,Myrciaria floribunda,original_Diaz,tree,GIFT
Myrica faya,779.83,18.549,83.346,7.024,9,0.66,Myrica faya,original_Diaz,tree,GIFT
Myriophyllum spicatum,79.95,32.895,16.755,0.438,0.6036,0.053,Myriophyllum spicatum,original_Diaz,herb,GIFT
Myriophyllum verticillatum,96.59,27.17,10.43,0.332,1.5,0.163,Myriophyllum verticillatum,original_Diaz,herb,GIFT
Myroxylon balsamum,2097.79,31.391,59.052,40,582.8337,0.788,Myroxylon balsamum,original_Diaz,tree,GIFT
Myrrhis odorata,158.36,51.5,26.372,0.868,38.3753,0.216,Myrrhis odorata,original_Diaz,herb,GIFT
Myrtus communis,152.48,11.937,126.195,1.831,10.118,0.602,Myrtus communis,original_Diaz,shrub,GIFT
Najas marina,67.79,23.68,26.245,0.5,3.28,0.051,Najas marina,original_Diaz,herb,GIFT
Nama dichotoma,26,43.88,32.258,0.09,0.05,0.164,Nama dichotoma,original_Diaz,herb,GIFT
Narcissus poeticus,4582,21.1,53.087,0.358,6.3,0.156,Narcissus poeticus,original_Diaz,herb,GIFT
Narcissus pseudonarcissus,1731.32,34.699,51.825,0.282,5.32,0.118,Narcissus pseudonarcissus,original_Diaz,herb,GIFT
Nardus stricta,82.82,15.782,90.472,0.196,0.3056,0.299,Nardus stricta,original_Diaz,herb,GIFT
Narthecium ossifragum,1087,24.146,40.108,0.177,0.0805,0.136,Narthecium ossifragum,original_Diaz,herb,GIFT
Nasturtium officinale,732.08,67.17,16.803,0.559,0.2535,0.135,Nasturtium officinale,original_Diaz,herb,GIFT
Nectandra ambigens,3326.8,16.85,136.986,40,1800,0.57,Damburneya ambigens,original_Diaz,tree,GIFT
Nectandra purpurea,5466.36,13.487,112.528,14.163,236.79,0.465,Damburneya purpurea,original_Diaz,tree,GIFT
Neea floribunda,9428.65,32.436,89.346,10,73.38,0.696,Neea floribunda,original_Diaz,tree,GIFT
Nelumbo nucifera,301844.92,32.134,59.325,1.5,869.36,0.114,Nelumbo nucifera,original_Diaz,herb,GIFT
Nerium oleander,1981.39,12.915,198.182,3.262,3.4907,0.6,Nerium oleander,original_Diaz,shrub,GIFT
Nothofagus antarctica,117.17,24.16,92.166,7.921,1.241,0.585,Nothofagus antarctica,original_Diaz,tree,GIFT
Nothofagus betuloides,116.19,12.327,158.829,25,96,0.51,Nothofagus betuloides,original_Diaz,tree,GIFT
Nothofagus dombeyi,235.62,13.245,129.164,42.916,12.9645,0.617,Nothofagus dombeyi,original_Diaz,tree,GIFT
Nothofagus fusca,552.43,15,68.762,24.389,7.0609,0.509,Nothofagus fusca,original_Diaz,tree,GIFT
Nothofagus menziesii,96.48,14.051,135.974,18.304,3.5573,0.528,Nothofagus menziesii,original_Diaz,tree,GIFT
Nothofagus pumilio,111.59,19.786,54.555,15.628,27.763,0.523,Nothofagus pumilio,original_Diaz,tree,GIFT
Nothofagus solandri,82.96,11,136.169,9.963,3.7353,0.498,Nothofagus solandri,original_Diaz,tree,GIFT
Nothoscordum gracile,2696.3,40.981,46.488,0.112,4.7,0.12,Nothoscordum gracile,original_Diaz,herb,GIFT
Notoceras bicorne,23.08,34.519,87.334,0.021,0.34,0.216,Notoceras bicorne,original_Diaz,herb,GIFT
Nuphar lutea,24904.2,35.858,78.213,0.45,48.0206,0.191,Nuphar lutea,original_Diaz,herb,GIFT
Nuytsia floribunda,675,7.089,460.829,12,83.4767,0.632,Nuytsia floribunda,original_Diaz,tree,GIFT
Nymphaea alba,41975,23.658,89.379,0.523,1.89,0.198,Nymphaea alba,original_Diaz,herb,GIFT
Nymphoides peltata,8694.63,27.945,38.664,0.173,0.6052,0.143,Nymphoides peltata,original_Diaz,herb,GIFT
Nyssa sylvatica,1361.8,18.724,54.645,25.52,153.6957,0.55,Nyssa sylvatica,original_Diaz,tree,GIFT
Ochanostachys amentacea,4557.25,16.747,85.697,12.988,3200,0.77,Ochanostachys amentacea,original_Diaz,tree,GIFT
Ochroma pyramidale,46443.72,25.87,87.244,28.984,8.5526,0.153,Ochroma pyramidale,original_Diaz,tree,GIFT
Ocotea cernua,3510.6,36.63,71.753,17.652,47.77,0.46,Ocotea leptobotra,original_Diaz,tree,GIFT
Ocotea dendrodaphne,17412.88,15.604,141.144,20,310,0.529,Mespilodaphne macrophylla,original_Diaz,tree,GIFT
Ocotea floribunda,8261.45,27.348,63.042,18.28,463.7116,0.394,Ocotea floribunda,original_Diaz,tree,GIFT
Ocotea leucoxylon,6247.33,22.856,67.177,17.281,150.9338,0.453,Ocotea leucoxylon,original_Diaz,tree,GIFT
Ocotea oblonga,3581.93,21.89,88.797,26.688,442,0.387,Ocotea oblonga,original_Diaz,tree,GIFT
Ocotea puberula,7419.51,31.31,64.299,25,107.2453,0.44,Ocotea puberula,original_Diaz,tree,GIFT
Ocotea whitei,3439.81,17.02,96.124,41.267,5897.496,0.425,Ocotea whitei,original_Diaz,tree,GIFT
Oenocarpus mapora,10697.21,18.068,112.632,16.076,1661.3,0.728,Oenocarpus mapora,original_Diaz,tree,GIFT
Oenothera biennis,3048.9,19.172,58.321,0.937,0.3969,0.201,Oenothera biennis,original_Diaz,herb,GIFT
Oenothera erythrosepala,5647.21,26.321,41.585,1.045,0.5763,0.159,Oenothera glazioviana,original_Diaz,herb,GIFT
Oenothera pubescens,160,21.75,57.471,0.13,0.51,0.169,Oenothera pubescens,original_Diaz,herb,GIFT
Olea capensis,2889.94,12.617,170.265,20,264.5345,0.767,Olea capensis,original_Diaz,tree,GIFT
Olea europaea,368.31,14.603,193.054,10.757,187.5273,0.798,Olea europaea,original_Diaz,tree,GIFT
Omphalea oleifera,40888.5,25.31,70.176,30,5150,0.44,Omphalea oleifera,original_Diaz,tree,GIFT
Ononis striata,48.25,21.975,58.903,0.026,3.7875,0.228,Ononis striata,original_Diaz,herb,GIFT
Oplismenus hirtellus,104.88,32.133,44.825,0.147,1.08,0.225,Oplismenus hirtellus,original_Diaz,herb,GIFT
Opuntia sulphurea,1060.29,15.122,497.8,0.424,9.1,0.23,Opuntia sulphurea,original_Diaz,shrub,GIFT
Orchis militaris,6088,25,46.49,0.279,0.001,0.1,Orchis militaris,original_Diaz,herb,GIFT
Origanum vulgare,344.05,19.325,45.145,0.404,0.0955,0.216,Origanum vulgare,original_Diaz,herb,GIFT
Orlaya grandiflora,1618,11.4,54.848,0.263,34.509,0.19,Orlaya grandiflora,original_Diaz,herb,GIFT
Ormosia amazonica,9623.88,18.268,102.318,14.393,383.34,0.65,Ormosia amazonica,original_Diaz,tree,GIFT
Ormosia coccinea,8452.99,16.991,122.666,24.515,575.4584,0.612,Ormosia coccinea,original_Diaz,tree,GIFT
Ormosia macrocalyx,8507.55,24.23,65.667,23.376,317.36,0.65,Ormosia macrocalyx,original_Diaz,tree,GIFT
Ornithogalum collinum,328,32.325,61.557,0.048,2.3091,0.129,Ornithogalum collinum,original_Diaz,herb,GIFT
Ornithopus compressus,4712,32.446,30.54,0.157,2.4837,0.241,Ornithopus compressus,original_Diaz,herb,GIFT
Orthantha lutea,27.17,29.064,46.211,0.274,0.22,0.206,Odontites luteus,original_Diaz,herb,GIFT
Orthilia secunda,269.01,17.333,60.51,0.11,5.00E-04,0.267,Orthilia secunda,original_Diaz,herb,GIFT
Orthion oblanceolatum,2296.9,18.914,69.614,15,60,0.69,Orthion oblanceolatum,original_Diaz,tree,GIFT
Oryza sativa,2075.98,19.038,51.222,0.316,26.9288,0.243,Oryza sativa,original_Diaz,herb,GIFT
Osteophloeum platyspermum,5291.64,29.61,107.535,40,1861.3909,0.471,Osteophloeum platyspermum,original_Diaz,tree,GIFT
Ostrya virginiana,2837.19,18.661,29.501,11.899,16.3844,0.63,Ostrya virginiana,original_Diaz,tree,GIFT
Otoba parvifolia,4513.59,21.644,92.226,30,1399.7862,0.421,Otoba parvifolia,original_Diaz,tree,GIFT
Ottleya wrightii,22.5,31.12,69.444,0.232,2.5265,0.425,Acmispon wrightii,original_Diaz,herb,GIFT
Oxalis acetosella,145.99,26.985,16.211,0.091,1.0214,0.098,Oxalis acetosella,original_Diaz,herb,GIFT
Oxalis alpina,150,37.65,23.364,0.02,0.25,0.143,Oxalis alpina,original_Diaz,herb,GIFT
Oxalis stricta,456.29,34.268,19.768,0.29,0.2053,0.177,Oxalis stricta,original_Diaz,herb,GIFT
Oxydendrum arboreum,5387,19.383,38.168,13.996,0.1662,0.59,Oxydendrum arboreum,original_Diaz,tree,GIFT
Oxyria digyna,375.01,43.678,41.79,0.1,0.6359,0.143,Oxyria digyna,original_Diaz,herb,GIFT
Oxytropis lambertii,98.57,28.512,98.039,0.251,1.9855,0.314,Oxytropis lambertii,original_Diaz,herb,GIFT
Pachira aquatica,8482.32,24.58,96.805,23.452,1386.26,0.413,Pachira aquatica,original_Diaz,tree,GIFT
Pachira insignis,2790.7,21.28,103.306,31.225,10417,0.441,Pachira insignis,original_Diaz,tree,GIFT
Pachira quinata,11597.04,20.237,48.18,26.165,39.2304,0.395,Bombax ceiba,original_Diaz,tree,GIFT
Pachira sessilis,3902.42,22.93,61.502,28.347,309.5003,0.441,Pachira sessilis,original_Diaz,tree,GIFT
Packera multilobata,300.8,20.46,78.74,0.13,0.505,0.188,Packera multilobata,original_Diaz,herb,GIFT
Palicourea guianensis,12967.31,22.2,49.916,8.372,13.1747,0.459,Palicourea guianensis,original_Diaz,shrub,GIFT
Palicourea tetragona,6549.66,17.895,53.821,7,210,0.65,Palicourea tetragona,original_Diaz,tree,GIFT
Panicum acuminatum,175.99,17.302,41.028,0.455,0.3265,0.398,Hymenachne amplexicaulis,original_Diaz,herb,GIFT
Panicum capillare,3781.39,16.701,42.185,0.415,0.2685,0.264,Panicum capillare,original_Diaz,herb,GIFT
Panicum dichotomiflorum,10814.57,19.32,40.287,1,0.628,0.195,Panicum dichotomiflorum,original_Diaz,herb,GIFT
Panicum linearifolium,348.04,11.93,48.679,0.222,0.38,0.265,Dichanthelium linearifolium,original_Diaz,herb,GIFT
Panicum virgatum,880.64,12.424,71.483,0.588,1.0456,0.49,Panicum virgatum,original_Diaz,herb,GIFT
Papaver rhoeas,4984.92,37.315,31.209,0.452,0.1336,0.169,Papaver rhoeas,original_Diaz,herb,GIFT
Pappea capensis,2234.84,16.135,98.516,10,145.04,0.88,Pappea capensis,original_Diaz,tree,GIFT
Pappophorum caespitosum,482.3,20.682,96.485,0.413,1.46,0.431,Pappophorum caespitosum,original_Diaz,herb,GIFT
Parashorea malaanonan,9050,19.04,48.497,28.356,1860,0.392,Parashorea malaanonan,original_Diaz,tree,GIFT
Parentucellia viscosa,316,20.151,41.365,0.233,0.0108,0.415,Parentucellia viscosa,original_Diaz,herb,GIFT
Parietaria judaica,773.98,46.242,20.046,0.211,0.2042,0.19,Parietaria judaica,original_Diaz,herb,GIFT
Parinari campestris,1456.42,16.318,147.698,31.464,11524.5033,0.714,Parinari campestris,original_Diaz,tree,GIFT
Parinari excelsa,1908.63,18.799,78.163,35,5335.8175,0.696,Parinari excelsa,original_Diaz,tree,GIFT
Parkia speciosa,108.77,29.897,50.298,12.961,540,0.393,Parkia speciosa,original_Diaz,tree,GIFT
Parkia velutina,12.95,24.022,49.723,17.889,1006.3441,0.394,Parkia velutina,original_Diaz,tree,GIFT
Parkinsonia praecox,45.64,36.5,74.899,4.25,39.1587,0.58,Parkinsonia praecox,original_Diaz,tree,GIFT
Parnassia palustris,274.35,16.751,43.309,0.11,0.0345,0.29,Parnassia palustris,original_Diaz,herb,GIFT
Paspalum dilatatum,1321.6,16.157,40.625,0.238,1.4401,0.205,Paspalum dilatatum,original_Diaz,herb,GIFT
Paspalum quadrifarium,5729.57,9.976,367.571,1.044,0.2,0.28,Paspalum quadrifarium,original_Diaz,herb,GIFT
Pastinaca sativa,13188.56,38.809,32.527,0.571,3.4013,0.161,Pastinaca sativa,original_Diaz,herb,GIFT
Pedicularis comosa,799.95,24.81,64.893,0.327,1.19,0.227,Pedicularis comosa,original_Diaz,herb,GIFT
Pedicularis gyroflexa,410.62,22.902,78.172,0.182,0.99,0.231,Pedicularis gyroflexa,original_Diaz,herb,GIFT
Pedicularis palustris,319.33,26.53,49.124,0.282,1.2311,0.172,Pedicularis palustris,original_Diaz,herb,GIFT
Pedicularis sylvatica,12,38.59,86.287,0.116,0.8966,0.18,Pedicularis sylvatica,original_Diaz,herb,GIFT
Peganum harmala,29.48,18.569,167.432,0.173,2.4589,0.255,Peganum harmala,original_Diaz,herb,GIFT
Pellacalyx axillaris,6911.07,18.28,107.296,24.819,0.6,0.38,Pellacalyx axillaris,original_Diaz,tree,GIFT
Peltogyne venosa,2293.47,13.646,116.462,36,223.5349,0.719,Peltogyne venosa,original_Diaz,tree,GIFT
Pennisetum flaccidum,2578.76,15.7,54.152,1.15,1.03,0.322,Cenchrus flaccidus,original_Diaz,herb,GIFT
Pennisetum glaucum,1509.63,12.184,37.837,1.11,3.5395,0.452,Cenchrus americanus,original_Diaz,herb,GIFT
Penstemon barbatus,440,18.07,87.719,0.44,0.24,0.229,Penstemon barbatus,original_Diaz,herb,GIFT
Penstemon linarioides,17,11.9,144.928,0.11,1.249,0.237,Penstemon linarioides,original_Diaz,herb,GIFT
Penstemon virgatus,230,18.18,104.167,0.24,1.0377,0.226,Penstemon virgatus,original_Diaz,herb,GIFT
Pentaclethra macroloba,7707.73,29.24,43.181,32,4757.0666,0.58,Pentaclethra macroloba,original_Diaz,tree,GIFT
Pentagonia macrophylla,139627.98,18.378,93.504,8.371,5.7789,0.455,Pentagonia macrophylla,original_Diaz,tree,GIFT
Perebea tessmannii,22532.42,20.247,101.614,20,395.32,0.398,Perebea tessmannii,original_Diaz,tree,GIFT
Perebea xanthochyma,14388.13,15.21,78.165,23.401,112.27,0.603,Perebea xanthochyma,original_Diaz,tree,GIFT
Persea americana,8796.48,17.7,90.948,7.746,14653.9455,0.538,Persea americana,original_Diaz,tree,GIFT
Persicaria amphibia,2105.85,39.181,53.073,0.361,2.617,0.213,Persicaria amphibia,original_Diaz,herb,GIFT
Persicaria bistorta,3684.57,30.778,46.703,0.52,5.3784,0.181,Bistorta officinalis,original_Diaz,herb,GIFT
Persicaria hydropiper,1488.53,38.474,23.115,0.639,1.7675,0.198,Persicaria hydropiper,original_Diaz,herb,GIFT
Persicaria lapathifolia,3782.96,35.017,45.697,0.595,1.6418,0.208,Persicaria lapathifolia,original_Diaz,herb,GIFT
Persicaria maculosa,1429.26,11.988,45.969,0.396,2.0441,0.228,Persicaria maculosa,original_Diaz,herb,GIFT
Persicaria sagittata,840.4,20.664,18.173,0.833,2.5633,0.195,Persicaria sagittata,original_Diaz,herb,GIFT
